,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
694,Intel Celeron G6900T,"4,003",1824,95.32,$42.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+J1750+%40+2.41GHz&id=2215,"3,241 MOps/Sec",710 MOps/Sec,3 Million Primes/Sec,"2,086 Thousand Strings/Sec",144.0 MBytes/Sec,"15,115 KBytes/Sec",79 Frames/Sec,222 Million Matrices/Sec,659 MOps/Sec
695,Intel Celeron J3455 @ 1.50GHz,"2,260",2516,6.48,$349.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+J3455E+%40+1.50GHz&id=3833,"10,093 MOps/Sec","2,876 MOps/Sec",5 Million Primes/Sec,"4,615 Thousand Strings/Sec","1,396 MBytes/Sec","34,039 KBytes/Sec",162 Frames/Sec,954 Million Matrices/Sec,846 MOps/Sec
696,Intel Celeron J4005 @ 2.00GHz,"1,585",2921,9.40,$168.75*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+J4025+%40+2.00GHz&id=3668,"6,406 MOps/Sec","3,334 MOps/Sec",6 Million Primes/Sec,"2,977 Thousand Strings/Sec","1,034 MBytes/Sec","23,192 KBytes/Sec",132 Frames/Sec,660 Million Matrices/Sec,"1,212 MOps/Sec"
697,Intel Celeron J4105 @ 1.50GHz,"2,915",2205,27.24,$107.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+J4115+%40+1.80GHz&id=3679,"10,694 MOps/Sec","5,767 MOps/Sec",7 Million Primes/Sec,"4,846 Thousand Strings/Sec","1,584 MBytes/Sec","38,525 KBytes/Sec",190 Frames/Sec,"1,112 Million Matrices/Sec","1,068 MOps/Sec"
698,Intel Celeron J6412 @ 2.00GHz,"3,858",1857,71.45,$54.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+J6413+%40+1.80GHz&id=4115,"13,973 MOps/Sec","8,017 MOps/Sec",15 Million Primes/Sec,"8,220 Thousand Strings/Sec","3,347 MBytes/Sec","56,339 KBytes/Sec",338 Frames/Sec,"1,741 Million Matrices/Sec","1,490 MOps/Sec"
699,Intel Celeron M 1.00GHz,149,4420,10.65,$13.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+M+1.30GHz&id=707,NA,NA,NA,NA,NA,NA,NA,NA,284 MOps/Sec
700,Intel Celeron N2810 @ 2.00GHz,420,4045,3.00,$139.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N2815+%40+1.86GHz&id=2158,"2,922 MOps/Sec",702 MOps/Sec,2 Million Primes/Sec,"1,766 Thousand Strings/Sec",129.8 MBytes/Sec,"12,623 KBytes/Sec",67 Frames/Sec,191 Million Matrices/Sec,560 MOps/Sec
701,Intel Celeron N2820 @ 2.13GHz,502,3968,2.23,$225.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N2830+%40+2.16GHz&id=2213,"3,367 MOps/Sec",781 MOps/Sec,3 Million Primes/Sec,"2,011 Thousand Strings/Sec",138.6 MBytes/Sec,"13,805 KBytes/Sec",74 Frames/Sec,211 Million Matrices/Sec,630 MOps/Sec
702,Intel Celeron N2830 @ 2.16GHz,550,3918,3.67,$149.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N2840+%40+2.16GHz&id=2388,"3,531 MOps/Sec",844 MOps/Sec,3 Million Primes/Sec,"2,136 Thousand Strings/Sec",154.3 MBytes/Sec,"15,155 KBytes/Sec",76 Frames/Sec,228 Million Matrices/Sec,673 MOps/Sec
703,Intel Celeron N3050 @ 1.60GHz,590,3867,3.47,$170.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N3060+%40+1.60GHz&id=2762,"3,224 MOps/Sec",740 MOps/Sec,3 Million Primes/Sec,"1,956 Thousand Strings/Sec",226.7 MBytes/Sec,"14,201 KBytes/Sec",70 Frames/Sec,302 Million Matrices/Sec,626 MOps/Sec
704,Intel Celeron N3060 @ 1.60GHz,659,3792,2.34,$282.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N3150+%40+1.60GHz&id=2546,"6,154 MOps/Sec","1,355 MOps/Sec",5 Million Primes/Sec,"3,557 Thousand Strings/Sec",422.5 MBytes/Sec,"25,852 KBytes/Sec",121 Frames/Sec,554 Million Matrices/Sec,572 MOps/Sec
705,Intel Celeron N3160 @ 1.60GHz,"1,175",3244,3.37,$349.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N3350+%40+1.10GHz&id=2895,"4,963 MOps/Sec","1,447 MOps/Sec",3 Million Primes/Sec,"2,285 Thousand Strings/Sec",679.5 MBytes/Sec,"16,120 KBytes/Sec",91 Frames/Sec,471 Million Matrices/Sec,803 MOps/Sec
706,Intel Celeron N3350 @ 1.10GHz,"1,109",3303,4.03,$275.49*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N3450+%40+1.10GHz&id=2907,"9,492 MOps/Sec","2,697 MOps/Sec",5 Million Primes/Sec,"4,181 Thousand Strings/Sec","1,265 MBytes/Sec","29,228 KBytes/Sec",151 Frames/Sec,874 Million Matrices/Sec,767 MOps/Sec
707,Intel Celeron N3450 @ 1.10GHz,"1,987",2665,10.74,$185.08*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N4000+%40+1.10GHz&id=3239,"5,214 MOps/Sec","2,839 MOps/Sec",5 Million Primes/Sec,"2,393 Thousand Strings/Sec",820.2 MBytes/Sec,"19,447 KBytes/Sec",107 Frames/Sec,548 Million Matrices/Sec,"1,035 MOps/Sec"
708,Intel Celeron N4000 @ 1.10GHz,"1,419",3052,13.26,$107.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N4000C+%40+1.10GHz&id=3635,"5,109 MOps/Sec","2,773 MOps/Sec",5 Million Primes/Sec,"2,399 Thousand Strings/Sec",911.3 MBytes/Sec,"19,711 KBytes/Sec",103 Frames/Sec,532 Million Matrices/Sec,"1,005 MOps/Sec"
709,Intel Celeron N4100 @ 1.10GHz,"2,436",2405,22.77,$107.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N4120+%40+1.10GHz&id=3651,"10,413 MOps/Sec","5,475 MOps/Sec",7 Million Primes/Sec,"4,238 Thousand Strings/Sec","1,461 MBytes/Sec","34,857 KBytes/Sec",183 Frames/Sec,"1,009 Million Matrices/Sec","1,094 MOps/Sec"
710,Intel Celeron N5105 @ 2.00GHz,"4,067",1811,13.60,$299.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N6210+%40+1.20GHz&id=5039,"6,086 MOps/Sec","3,748 MOps/Sec",9 Million Primes/Sec,"3,214 Thousand Strings/Sec","1,438 MBytes/Sec","23,633 KBytes/Sec",166 Frames/Sec,666 Million Matrices/Sec,"1,347 MOps/Sec"
711,Intel Celeron N6210 @ 1.20GHz,"1,918",2709,35.52,$54.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+N6211+%40+1.20GHz&id=4286,"6,921 MOps/Sec","4,413 MOps/Sec",11 Million Primes/Sec,"3,902 Thousand Strings/Sec","1,694 MBytes/Sec","28,143 KBytes/Sec",197 Frames/Sec,761 Million Matrices/Sec,"1,586 MOps/Sec"
712,Intel Celeron N6211 @ 1.20GHz,"2,245",2523,41.57,$54.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+P4500+%40+1.87GHz&id=687,"3,547 MOps/Sec","2,100 MOps/Sec",6 Million Primes/Sec,"2,201 Thousand Strings/Sec",176.1 MBytes/Sec,"14,998 KBytes/Sec",105 Frames/Sec,551 Million Matrices/Sec,747 MOps/Sec
713,Intel Celeron T1600 @ 1.66GHz,562,3904,28.09,$19.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+U1900+%40+1.99GHz&id=2592,NA,NA,NA,NA,NA,NA,NA,NA,527 MOps/Sec
714,Intel Core 860 @ 2.80GHz,"2,754",2264,10.20,$270.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Duo+L2300+%40+1.50GHz&id=575,NA,NA,NA,NA,NA,NA,NA,NA,442 MOps/Sec
715,Intel Core Duo T2400 @ 1.83GHz,361,4110,22.55,$16.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Duo+T2450+%40+2.00GHz&id=731,"1,149 MOps/Sec","1,351 MOps/Sec",1 Million Primes/Sec,"1,854 Thousand Strings/Sec",173.6 MBytes/Sec,"12,846 KBytes/Sec",60 Frames/Sec,109 Million Matrices/Sec,608 MOps/Sec
716,Intel Core Duo T2500 @ 2.00GHz,408,4060,3.40,$119.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Duo+T2600+%40+2.16GHz&id=733,"1,173 MOps/Sec","1,404 MOps/Sec",1 Million Primes/Sec,"2,059 Thousand Strings/Sec",185.3 MBytes/Sec,"13,581 KBytes/Sec",72 Frames/Sec,111 Million Matrices/Sec,667 MOps/Sec
717,Intel Core i3-1005G1 @ 1.20GHz,"4,989",1616,17.75,$281.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100+%40+3.60GHz&id=3717,"28,752 MOps/Sec","18,000 MOps/Sec",23 Million Primes/Sec,"16,336 Thousand Strings/Sec","2,941 MBytes/Sec","129,118 KBytes/Sec",531 Frames/Sec,"8,653 Million Matrices/Sec","2,623 MOps/Sec"
718,Intel Core i3-10100 @ 3.60GHz,"8,687",1046,90.48,$96.01,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100E+%40+3.20GHz&id=4623,"25,329 MOps/Sec","16,110 MOps/Sec",28 Million Primes/Sec,"14,956 Thousand Strings/Sec","2,703 MBytes/Sec","114,340 KBytes/Sec",629 Frames/Sec,"7,754 Million Matrices/Sec","2,297 MOps/Sec"
719,Intel Core i3-10100E @ 3.20GHz,"8,229",1091,65.83,$125.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100F+%40+3.60GHz&id=3863,"28,416 MOps/Sec","17,745 MOps/Sec",24 Million Primes/Sec,"16,220 Thousand Strings/Sec","3,012 MBytes/Sec","128,087 KBytes/Sec",563 Frames/Sec,"8,560 Million Matrices/Sec","2,594 MOps/Sec"
720,Intel Core i3-10100F @ 3.60GHz,"8,784",1042,126.38,$69.50,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100T+%40+3.00GHz&id=3796,"24,660 MOps/Sec","15,434 MOps/Sec",18 Million Primes/Sec,"13,898 Thousand Strings/Sec","2,475 MBytes/Sec","110,642 KBytes/Sec",420 Frames/Sec,"7,387 Million Matrices/Sec","2,299 MOps/Sec"
721,Intel Core i3-10100T @ 3.00GHz,"7,304",1199,59.87,$122.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100TE+%40+2.30GHz&id=5041,"18,828 MOps/Sec","11,951 MOps/Sec",22 Million Primes/Sec,"10,999 Thousand Strings/Sec","2,134 MBytes/Sec","85,546 KBytes/Sec",497 Frames/Sec,"5,727 Million Matrices/Sec","1,715 MOps/Sec"
722,Intel Core i3-10100TE @ 2.30GHz,"6,237",1381,45.19,$138.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10100Y+%40+1.30GHz&id=4566,"9,568 MOps/Sec","5,734 MOps/Sec",13 Million Primes/Sec,"4,941 Thousand Strings/Sec",963.6 MBytes/Sec,"35,771 KBytes/Sec",269 Frames/Sec,"2,390 Million Matrices/Sec","1,657 MOps/Sec"
723,Intel Core i3-10105 @ 3.70GHz,"8,649",1050,82.61,$104.70,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10105F+%40+3.70GHz&id=4175,"29,119 MOps/Sec","18,257 MOps/Sec",25 Million Primes/Sec,"16,664 Thousand Strings/Sec","3,084 MBytes/Sec","131,759 KBytes/Sec",575 Frames/Sec,"8,790 Million Matrices/Sec","2,656 MOps/Sec"
724,Intel Core i3-10105F @ 3.70GHz,"9,010",1030,121.76,$74.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10105T+%40+3.00GHz&id=4401,"25,529 MOps/Sec","15,980 MOps/Sec",24 Million Primes/Sec,"14,689 Thousand Strings/Sec","2,737 MBytes/Sec","115,220 KBytes/Sec",543 Frames/Sec,"7,703 Million Matrices/Sec","2,357 MOps/Sec"
725,Intel Core i3-10105T @ 3.00GHz,"8,012",1120,65.67,$122.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10110U+%40+2.10GHz&id=3573,"12,268 MOps/Sec","7,701 MOps/Sec",14 Million Primes/Sec,"6,759 Thousand Strings/Sec","1,293 MBytes/Sec","51,593 KBytes/Sec",303 Frames/Sec,"3,374 Million Matrices/Sec","2,219 MOps/Sec"
726,Intel Core i3-10110U @ 2.10GHz,"3,925",1838,9.04,$434.17*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10110Y+%40+1.00GHz&id=3707,"11,147 MOps/Sec","6,665 MOps/Sec",12 Million Primes/Sec,"5,420 Thousand Strings/Sec","1,099 MBytes/Sec","41,186 KBytes/Sec",234 Frames/Sec,"2,390 Million Matrices/Sec","2,090 MOps/Sec"
727,Intel Core i3-10110Y @ 1.00GHz,"3,269",2052,11.39,$287.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10300+%40+3.70GHz&id=3765,"29,629 MOps/Sec","18,642 MOps/Sec",28 Million Primes/Sec,"16,966 Thousand Strings/Sec","3,183 MBytes/Sec","134,662 KBytes/Sec",598 Frames/Sec,"8,990 Million Matrices/Sec","2,701 MOps/Sec"
728,Intel Core i3-10300 @ 3.70GHz,"9,336",999,93.37,$99.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10300T+%40+3.00GHz&id=3838,"24,836 MOps/Sec","15,804 MOps/Sec",28 Million Primes/Sec,"14,208 Thousand Strings/Sec","2,729 MBytes/Sec","114,001 KBytes/Sec",593 Frames/Sec,"7,548 Million Matrices/Sec","2,384 MOps/Sec"
729,Intel Core i3-10300T @ 3.00GHz,"8,067",1111,41.59,$193.97*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10305+%40+3.80GHz&id=4369,"30,808 MOps/Sec","19,392 MOps/Sec",24 Million Primes/Sec,"17,316 Thousand Strings/Sec","3,042 MBytes/Sec","138,910 KBytes/Sec",490 Frames/Sec,"9,326 Million Matrices/Sec","2,797 MOps/Sec"
730,Intel Core i3-10305 @ 3.80GHz,"9,108",1020,54.50,$167.11,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10305T+%40+3.00GHz&id=4375,"25,571 MOps/Sec","15,676 MOps/Sec",24 Million Primes/Sec,"15,146 Thousand Strings/Sec","2,812 MBytes/Sec","118,376 KBytes/Sec",460 Frames/Sec,"7,910 Million Matrices/Sec","2,457 MOps/Sec"
731,Intel Core i3-10305T @ 3.00GHz,"8,136",1104,56.90,$143.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10320+%40+3.80GHz&id=3890,"31,222 MOps/Sec","19,553 MOps/Sec",33 Million Primes/Sec,"18,201 Thousand Strings/Sec","3,469 MBytes/Sec","141,188 KBytes/Sec",703 Frames/Sec,"9,299 Million Matrices/Sec","2,844 MOps/Sec"
732,Intel Core i3-10320 @ 3.80GHz,"10,063",942,71.89,$139.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-10325+%40+3.90GHz&id=4685,"31,664 MOps/Sec","20,030 MOps/Sec",36 Million Primes/Sec,"18,736 Thousand Strings/Sec","3,453 MBytes/Sec","143,931 KBytes/Sec",781 Frames/Sec,"9,639 Million Matrices/Sec","2,875 MOps/Sec"
733,Intel Core i3-10325 @ 3.90GHz,"10,354",925,54.47,$190.10*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-11100B+%40+3.60GHz&id=4637,"34,286 MOps/Sec","20,698 MOps/Sec",48 Million Primes/Sec,"15,377 Thousand Strings/Sec","6,774 MBytes/Sec","130,940 KBytes/Sec",584 Frames/Sec,"9,560 Million Matrices/Sec","2,912 MOps/Sec"
734,Intel Core i3-11100HE @ 2.40GHz,"11,289",868,48.45,$233.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1110G4+%40+1.80GHz&id=4730,"16,586 MOps/Sec","9,625 MOps/Sec",23 Million Primes/Sec,"5,573 Thousand Strings/Sec","2,341 MBytes/Sec","48,131 KBytes/Sec",445 Frames/Sec,"2,557 Million Matrices/Sec","2,287 MOps/Sec"
735,Intel Core i3-1110G4 @ 1.80GHz,"4,390",1727,15.62,$281.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1115G4+%40+3.00GHz&id=3877,"18,003 MOps/Sec","11,109 MOps/Sec",26 Million Primes/Sec,"7,966 Thousand Strings/Sec","3,500 MBytes/Sec","65,297 KBytes/Sec",421 Frames/Sec,"4,806 Million Matrices/Sec","2,659 MOps/Sec"
736,Intel Core i3-1115G4 @ 3.00GHz,"6,145",1397,21.87,$281.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1115G4E+%40+3.00GHz&id=4739,"17,044 MOps/Sec","10,323 MOps/Sec",26 Million Primes/Sec,"7,596 Thousand Strings/Sec","3,412 MBytes/Sec","58,672 KBytes/Sec",455 Frames/Sec,"4,456 Million Matrices/Sec","2,609 MOps/Sec"
737,Intel Core i3-1115G4E @ 3.00GHz,"5,826",1452,20.44,$285.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1115GRE+%40+3.00GHz&id=4696,"13,219 MOps/Sec","8,005 MOps/Sec",17 Million Primes/Sec,"5,327 Thousand Strings/Sec","2,331 MBytes/Sec","43,810 KBytes/Sec",301 Frames/Sec,"3,156 Million Matrices/Sec","2,000 MOps/Sec"
738,Intel Core i3-1115GRE @ 3.00GHz,"4,220",1765,12.48,$338.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1125G4+%40+2.00GHz&id=3995,"30,075 MOps/Sec","18,479 MOps/Sec",35 Million Primes/Sec,"13,266 Thousand Strings/Sec","5,803 MBytes/Sec","109,883 KBytes/Sec",578 Frames/Sec,"8,195 Million Matrices/Sec","2,506 MOps/Sec"
739,Intel Core i3-12100,"13,520",764,110.82,$122.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12100E&id=5576,"41,460 MOps/Sec","32,100 MOps/Sec",58 Million Primes/Sec,"15,976 Thousand Strings/Sec","8,175 MBytes/Sec","162,208 KBytes/Sec","1,090 Frames/Sec","10,848 Million Matrices/Sec",NA
740,Intel Core i3-12100E,"14,250",733,103.26,$138.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12100F&id=4670,"41,393 MOps/Sec","32,240 MOps/Sec",63 Million Primes/Sec,"16,071 Thousand Strings/Sec","8,154 MBytes/Sec","162,442 KBytes/Sec","1,000 Frames/Sec","10,920 Million Matrices/Sec","3,483 MOps/Sec"
741,Intel Core i3-12100F,"14,218",735,103.79,$136.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12100T&id=4802,"37,770 MOps/Sec","29,357 MOps/Sec",53 Million Primes/Sec,"14,704 Thousand Strings/Sec","7,474 MBytes/Sec","147,049 KBytes/Sec",809 Frames/Sec,"9,811 Million Matrices/Sec","3,317 MOps/Sec"
742,Intel Core i3-12100T,"12,781",807,104.76,$122.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12100TE&id=4955,"36,216 MOps/Sec","28,636 MOps/Sec",65 Million Primes/Sec,"14,327 Thousand Strings/Sec","7,219 MBytes/Sec","144,684 KBytes/Sec","1,137 Frames/Sec","9,697 Million Matrices/Sec","3,334 MOps/Sec"
743,Intel Core i3-12100TE,"12,961",795,103.68,$125.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1210U&id=4886,"36,735 MOps/Sec","25,779 MOps/Sec",52 Million Primes/Sec,"12,431 Thousand Strings/Sec","6,719 MBytes/Sec","109,605 KBytes/Sec",803 Frames/Sec,"6,284 Million Matrices/Sec","3,453 MOps/Sec"
744,Intel Core i3-1215UE,"9,643",972,30.81,$313.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1215UL&id=5704,"20,435 MOps/Sec","14,482 MOps/Sec",25 Million Primes/Sec,"6,849 Thousand Strings/Sec","3,999 MBytes/Sec","63,242 KBytes/Sec",445 Frames/Sec,"3,689 Million Matrices/Sec","2,046 MOps/Sec"
745,Intel Core i3-1215UL,"6,161",1395,21.62,$285.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1220P&id=4819,"54,801 MOps/Sec","37,928 MOps/Sec",31 Million Primes/Sec,"20,995 Thousand Strings/Sec","11,019 MBytes/Sec","181,296 KBytes/Sec",618 Frames/Sec,"10,004 Million Matrices/Sec","3,401 MOps/Sec"
746,Intel Core i3-1220P,"14,394",719,51.22,$281.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1220PE&id=5692,"53,277 MOps/Sec","36,844 MOps/Sec",52 Million Primes/Sec,"24,092 Thousand Strings/Sec","11,188 MBytes/Sec","168,482 KBytes/Sec","1,215 Frames/Sec","9,000 Million Matrices/Sec","3,474 MOps/Sec"
747,Intel Core i3-1220PE,"16,146",640,54.73,$295.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12300&id=4746,"43,240 MOps/Sec","33,657 MOps/Sec",64 Million Primes/Sec,"16,323 Thousand Strings/Sec","8,547 MBytes/Sec","170,054 KBytes/Sec",958 Frames/Sec,"11,360 Million Matrices/Sec","3,637 MOps/Sec"
748,Intel Core i3-12300,"14,706",699,102.84,$143.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-12300T&id=5109,"39,278 MOps/Sec","30,488 MOps/Sec",57 Million Primes/Sec,"15,102 Thousand Strings/Sec","7,674 MBytes/Sec","150,554 KBytes/Sec","1,020 Frames/Sec","9,888 Million Matrices/Sec","3,395 MOps/Sec"
749,Intel Core i3-12300T,"13,239",779,84.33,$157.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1305U&id=5524,"28,865 MOps/Sec","21,452 MOps/Sec",38 Million Primes/Sec,"12,226 Thousand Strings/Sec","6,701 MBytes/Sec","108,914 KBytes/Sec",491 Frames/Sec,"6,206 Million Matrices/Sec","3,711 MOps/Sec"
750,Intel Core i3-1305U,"9,724",966,31.47,$309.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-13100&id=5170,"43,655 MOps/Sec","33,927 MOps/Sec",59 Million Primes/Sec,"17,111 Thousand Strings/Sec","8,551 MBytes/Sec","170,989 KBytes/Sec",971 Frames/Sec,"11,493 Million Matrices/Sec","3,675 MOps/Sec"
751,Intel Core i3-13100,"14,762",696,114.72,$128.67,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-13100E&id=5641,"33,583 MOps/Sec","25,932 MOps/Sec",56 Million Primes/Sec,"12,411 Thousand Strings/Sec","6,623 MBytes/Sec","131,016 KBytes/Sec","1,061 Frames/Sec","8,798 Million Matrices/Sec","2,750 MOps/Sec"
752,Intel Core i3-13100E,"11,650",851,85.03,$137.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-13100F&id=5156,"42,968 MOps/Sec","33,233 MOps/Sec",61 Million Primes/Sec,"16,763 Thousand Strings/Sec","8,501 MBytes/Sec","168,510 KBytes/Sec","1,037 Frames/Sec","11,360 Million Matrices/Sec","3,605 MOps/Sec"
753,Intel Core i3-13100F,"14,671",702,132.19,$110.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-13100T&id=5295,"39,553 MOps/Sec","30,719 MOps/Sec",54 Million Primes/Sec,"14,999 Thousand Strings/Sec","7,752 MBytes/Sec","151,137 KBytes/Sec",904 Frames/Sec,"10,037 Million Matrices/Sec","3,409 MOps/Sec"
754,Intel Core i3-13100T,"13,187",784,98.41,$134.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-1315U&id=5300,"40,142 MOps/Sec","28,854 MOps/Sec",52 Million Primes/Sec,"16,292 Thousand Strings/Sec","8,700 MBytes/Sec","146,335 KBytes/Sec",869 Frames/Sec,"8,423 Million Matrices/Sec","3,591 MOps/Sec"
755,Intel Core i3-1315U,"13,108",788,42.42,$309.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2100+%40+3.10GHz&id=749,"8,994 MOps/Sec","3,413 MOps/Sec",12 Million Primes/Sec,"5,857 Thousand Strings/Sec",320.8 MBytes/Sec,"39,420 KBytes/Sec",238 Frames/Sec,"1,705 Million Matrices/Sec","1,422 MOps/Sec"
756,Intel Core i3-2100 @ 3.10GHz,"1,849",2757,77.02,$24.01,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2100T+%40+2.50GHz&id=750,"6,742 MOps/Sec","2,774 MOps/Sec",10 Million Primes/Sec,"4,641 Thousand Strings/Sec",257.5 MBytes/Sec,"30,505 KBytes/Sec",216 Frames/Sec,"1,263 Million Matrices/Sec","1,088 MOps/Sec"
757,Intel Core i3-2100T @ 2.50GHz,"1,488",3000,69.29,$21.48*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2102+%40+3.10GHz&id=2728,NA,NA,NA,NA,NA,NA,NA,NA,"1,400 MOps/Sec"
758,Intel Core i3-2102 @ 3.10GHz,"2,029",2640,34.98,$58.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2105+%40+3.10GHz&id=751,"9,029 MOps/Sec","3,336 MOps/Sec",12 Million Primes/Sec,"5,845 Thousand Strings/Sec",324.5 MBytes/Sec,"38,975 KBytes/Sec",265 Frames/Sec,"1,677 Million Matrices/Sec","1,433 MOps/Sec"
759,Intel Core i3-2105 @ 3.10GHz,"1,883",2738,16.67,$112.97*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-21050+%40+3.10GHz&id=3438,NA,NA,NA,NA,NA,NA,NA,NA,"1,429 MOps/Sec"
760,Intel Core i3-2120 @ 3.30GHz,"1,956",2682,150.54,$12.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2120T+%40+2.60GHz&id=753,"7,171 MOps/Sec","2,858 MOps/Sec",10 Million Primes/Sec,"4,794 Thousand Strings/Sec",264.4 MBytes/Sec,"32,388 KBytes/Sec",225 Frames/Sec,"1,337 Million Matrices/Sec","1,159 MOps/Sec"
761,Intel Core i3-2120T @ 2.60GHz,"1,520",2981,25.33,$60.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2125+%40+3.30GHz&id=754,"10,076 MOps/Sec","3,742 MOps/Sec",14 Million Primes/Sec,"6,550 Thousand Strings/Sec",343.7 MBytes/Sec,"43,808 KBytes/Sec",279 Frames/Sec,"1,919 Million Matrices/Sec","1,562 MOps/Sec"
762,Intel Core i3-2125 @ 3.30GHz,"2,085",2612,13.45,$154.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-2130+%40+3.40GHz&id=755,"9,896 MOps/Sec","3,768 MOps/Sec",12 Million Primes/Sec,"6,430 Thousand Strings/Sec",354.0 MBytes/Sec,"43,642 KBytes/Sec",240 Frames/Sec,"1,883 Million Matrices/Sec","1,562 MOps/Sec"
