,Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)","Videocard Value
(higher is better)","Price
(USD)",lien,DirectX 9,DirectX 10,DirectX 11,DirectX 12,GPU Compute
555,RTX A2000,13807,110,20.01,$689.99*,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+12GB&id=4533,175 Frames/Sec,82 Frames/Sec,99 Frames/Sec,52 Frames/Sec,6709 Ops/Sec
556,RTX A4000,19299,52,25.73,$749.99*,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4000+Laptop+GPU&id=4421,161 Frames/Sec,117 Frames/Sec,131 Frames/Sec,67 Frames/Sec,6884 Ops/Sec
557,RTX A4500,21848,33,20.23,"$1,079.99*",https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A4500+Laptop+GPU&id=4565,203 Frames/Sec,117 Frames/Sec,138 Frames/Sec,82 Frames/Sec,7099 Ops/Sec
558,RTX A5000,23114,23,10.79,"$2,141.99*",https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5000+Laptop+GPU&id=4416,156 Frames/Sec,121 Frames/Sec,131 Frames/Sec,74 Frames/Sec,7181 Ops/Sec
559,RTX A5500,20797,37,9.58,"$2,169.99*",https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A5500+Laptop+GPU&id=4562,194 Frames/Sec,116 Frames/Sec,144 Frames/Sec,82 Frames/Sec,7761 Ops/Sec
560,RTX A6000,22757,26,5.54,"$4,109.99*",https://www.videocardbenchmark.net/gpu.php?gpu=RV530+PRO&id=1820,NA,NA,NA,NA,NA
561,T1000,7659,245,19.15,$399.99,https://www.videocardbenchmark.net/gpu.php?gpu=T1000+8GB&id=4513,123 Frames/Sec,36 Frames/Sec,56 Frames/Sec,32 Frames/Sec,3015 Ops/Sec
562,T400,3620,458,20.11,$179.99*,https://www.videocardbenchmark.net/gpu.php?gpu=T400+4GB&id=4512,65 Frames/Sec,14 Frames/Sec,28 Frames/Sec,17 Frames/Sec,1516 Ops/Sec
563,T600,6475,282,26.98,$239.99*,https://www.videocardbenchmark.net/gpu.php?gpu=T600+Laptop+GPU&id=4424,114 Frames/Sec,33 Frames/Sec,51 Frames/Sec,32 Frames/Sec,2666 Ops/Sec
564,Tesla C2050,3175,502,11.76,$269.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050+%2F+C2070&id=2515,NA,NA,NA,NA,NA
565,Tesla C2070,2839,529,4.70,$604.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2075&id=1671,55 Frames/Sec,13 Frames/Sec,25 Frames/Sec,9 Frames/Sec,1079 Ops/Sec
566,Tesla C2075,3016,516,4.67,$646.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+K20m&id=4496,59 Frames/Sec,26 Frames/Sec,36 Frames/Sec,20 Frames/Sec,1511 Ops/Sec
567,Tesla K80,6210,294,10.46,$593.95*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+M10&id=4095,55 Frames/Sec,15 Frames/Sec,25 Frames/Sec,18 Frames/Sec,1701 Ops/Sec
568,Tesla M10,3490,470,1.30,"$2,695.00*",https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+M2070-Q&id=2800,NA,NA,NA,NA,NA
569,Tesla M40,10182,171,16.97,$600.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+M40+24GB&id=4450,145 Frames/Sec,63 Frames/Sec,82 Frames/Sec,43 Frames/Sec,3649 Ops/Sec
570,Tesla M6,7509,250,37.73,$199.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+M60&id=3774,135 Frames/Sec,42 Frames/Sec,38 Frames/Sec,32 Frames/Sec,2617 Ops/Sec
571,Tesla M60,7770,241,9.86,$787.90*,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+P100-PCIE-16GB&id=4039,NA,NA,NA,NA,NA
572,Tesla T4,10725,164,2.31,"$4,646.99",https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+V100-PCIE-16GB&id=4226,136 Frames/Sec,104 Frames/Sec,112 Frames/Sec,58 Frames/Sec,4467 Ops/Sec
573,TITAN RTX,19912,43,8.27,"$2,409.20*",https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859,213 Frames/Sec,161 Frames/Sec,150 Frames/Sec,79 Frames/Sec,9747 Ops/Sec
574,TITAN V,19888,44,9.94,"$1,999.99*",https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V+CEO+Edition&id=4005,NA,NA,NA,NA,NA
